LINE,BLUE_GY,TESTER
10138,152.4825,209
10139,136.0575,209
10140,154.5725,209
10141,153.9746574,209
10142,143.26,209
10143,143.7075,209
10144,172.34,209
10145,142.7525,209
10146,155.3025,209
10147,148.015,209
10148,161.4675,209
10149,159.63,209
10150,156.19,209
10151,167.5875,209
10152,155.64,209
10153,155.94,209
10154,135.7,209
10155,159.7975,209
10156,172.775,209
10157,147.23,209
10158,162.39,209
10159,149.575,209
10160,145.285,209
10161,161.4775,209
10162,168.6225,209
10163,145.7925,209
10164,155.105,209
10165,168.9,209
10166,139.1875,209
10167,141.2225,209
10168,142.78,209
10169,128.502096,209
10170,141.0428947,209
10171,138.1127611,209
10172,177.9757826,209
10173,154.2016328,209
10174,130.8434189,209
10175,142.7786287,209
10176,142.1616202,209
10177,142.4801564,209
10178,141.6565817,209
10179,159.0814358,209
10180,152.4670575,209
10181,143.6095494,209
10182,160.8273368,209
10183,166.546635,209
10184,152.638393,209
10185,141.4527461,209
10186,133.6558585,209
10187,134.5016479,209
10188,119.8538875,209
10189,135.1547084,209
10190,158.3028531,209
10191,145.6275,209
10192,150.9725,209
10193,149.2675,209
10194,147.705,209
10195,157.5775,209
10196,156.225,209
10197,148.21,209
10198,162.84,209
10199,147.335,209
10200,158.265,209
10201,143.885,209
10202,160.2675,209
10203,168.1725,209
10204,161.4753099,209
10205,144.6775,209
10206,154.4775,209
10207,137.7158618,209
10208,166.7275,209
10209,132.6475,209
10210,155.44,209
10211,164.39,209
10212,160.24,209
10213,150.0175,209
10214,142.2825,209
10215,163.4825,209
10216,150.9575,209
10217,160.29,209
10218,159.5075,209
10219,163.69,209
10220,153.515,209
10221,158.1575,209
10222,132.2271858,209
10223,151.65,209
10224,135.4991815,209
10225,125.5000165,209
10226,123.5387696,209
10227,142.9977923,209
10228,130.2376311,209
10229,148.0343299,209
10230,123.0697909,209
10231,144.7359796,209
10232,128.6078557,209
10233,130.7926207,209
10234,134.0928913,209
10235,134.9507833,209
10236,145.0689246,209
10237,145.3044301,209
10238,140.705,209
10240,130.0267819,209
10241,155.7477433,209
10242,136.7110232,209
10243,132.7482888,209
10244,144.6018238,209
10245,161.2114487,209
10246,149.9216912,209
10247,103.0327512,209
10248,131.2387447,209
10249,128.1027788,209
10250,138.2604457,209
10251,145.6836448,209
10252,153.2948956,209
10253,147.124911,209
10254,123.1316766,209
10255,149.1218891,209
10256,141.7479557,209
10257,149.9461468,209
10258,129.6791915,209
10259,107.7706819,209
10260,142.1535881,209
10261,134.5437701,209
10262,143.309238,209
10264,113.1248056,209
10265,131.1482689,209
10266,132.9141376,209
10267,133.3740383,209
10268,145.6792457,209
10269,168.6440664,209
10270,143.0092298,209
10271,146.1970225,209
10272,143.1892163,209
10273,169.5021704,209
10274,158.1686538,209
10275,181.3945219,209
10276,141.648268,209
10277,150.6907468,209
10278,148.7202874,209
10279,142.9676924,209
10280,163.2332653,209
10281,148.0223645,209
10282,154.6745597,209
10283,163.0303508,209
10284,161.987736,209
10285,125.2737562,209
10286,169.5080245,209
10287,127.662743,209
10288,145.189282,209
10289,144.5611897,209
10290,167.8104249,209
10291,171.8470501,209
10292,158.3473207,209
10293,166.7532547,209
10294,128.4677408,209
10295,137.3448443,209
10296,167.9429129,209
10297,161.6425295,209
10298,155.5202535,209
10299,177.7502511,209
10300,164.7918374,209
10301,172.7313794,209
10302,174.2970375,209
10303,156.345977,209
10304,176.5948414,209
10305,180.9245345,209
10306,169.3086237,209
10307,181.5351182,209
10308,166.0347523,209
10309,155.1479732,209
10310,147.6466479,209
10311,153.7132445,209
10312,147.5051923,209
10313,164.858266,209
10314,156.2105706,209
10315,172.5108494,209
10316,159.5066943,209
10317,168.9569944,209
10318,151.6234826,209
10319,167.0695013,209
10320,169.5476281,209
10321,154.4446187,209
10322,153.6055374,209
10323,152.1372287,209
10324,166.2012052,209
