En,NUM,ENTRY,REP,k,ER,PH,GY
1,883,NEC109,3,NEC1093,0.93,13.1,857.93
1,107,NEC110,1,NEC1101,0.87,16.67,576.38
1,496,NEC110,2,NEC1102,1.23,13.6,.
1,884,NEC110,3,NEC1103,1,14.5,136.59
1,108,NEC111,1,NEC1111,0.77,13.17,481.09
1,497,NEC111,2,NEC1112,0.89,13.1,378.44
1,885,NEC111,3,NEC1113,0.9,12.6,430.67
1,109,NEC112,1,NEC1121,0.77,16,319.76
1,498,NEC112,2,NEC1122,0.68,11.67,361.32
1,886,NEC112,3,NEC1123,0.63,13.03,256.26
1,110,NEC113,1,NEC1131,1,14.53,774.6
1,499,NEC113,2,NEC1132,0.93,13.17,941.28
1,887,NEC113,3,NEC1133,0.9,14.63,872.59
1,111,NEC114,1,NEC1141,0.77,16.5,263.13
1,500,NEC114,2,NEC1142,1,16.17,289.54
1,888,NEC114,3,NEC1143,0.97,16.77,439.63
1,112,NEC115,1,NEC1151,0.87,11.9,154.06
1,501,NEC115,2,NEC1152,0.87,8.83,83.35
1,889,NEC115,3,NEC1153,0.8,10.5,202.5
1,113,NEC116,1,NEC1161,0.93,14.83,191.63
1,502,NEC116,2,NEC1162,0.93,13.83,153.66
1,890,NEC116,3,NEC1163,0.97,12.6,297.49
1,114,NEC117,1,NEC1171,0.97,18.17,.
1,503,NEC117,2,NEC1172,0.97,17.83,1099.77
1,891,NEC117,3,NEC1173,0.93,17.83,.
1,115,NEC118,1,NEC1181,0.77,15.33,379.12
1,504,NEC118,2,NEC1182,0.83,15.5,467
1,892,NEC118,3,NEC1183,0.77,16.7,676.2
1,116,NEC119,1,NEC1191,0.93,16.4,123.69
1,505,NEC119,2,NEC1192,0.8,17.33,.
1,893,NEC119,3,NEC1193,0.87,15.4,397.41
1,117,NEC120,1,NEC1201,0.93,17.33,394.86
1,506,NEC120,2,NEC1202,0.93,15.93,123.91
1,894,NEC120,3,NEC1203,1,16.47,409.75
1,118,NEC121,1,NEC1211,0.93,13.07,167.44
1,507,NEC121,2,NEC1212,0.97,11.83,71.34
1,895,NEC121,3,NEC1213,1,13.17,385.36
1,119,NEC122,1,NEC1221,0.97,15.9,153.33
1,508,NEC122,2,NEC1222,0.83,14.13,.
1,896,NEC122,3,NEC1223,0.93,15.3,171.65
1,120,NEC123,1,NEC1231,1,17.13,561.71
1,509,NEC123,2,NEC1232,1,14.67,.
1,897,NEC123,3,NEC1233,0.93,18.4,231.04
1,121,NEC124,1,NEC1241,0.77,16.53,515.26
1,510,NEC124,2,NEC1242,0.87,13.33,94.75
1,898,NEC124,3,NEC1243,1,19.2,.
1,122,NEC125,1,NEC1251,0.9,15,512.19
1,511,NEC125,2,NEC1252,1,14.13,102.02
1,899,NEC125,3,NEC1253,1,14.57,.
1,123,NEC126,1,NEC1261,0.07,12.25,136.29
1,512,NEC126,2,NEC1262,0.37,10.53,0.23
1,900,NEC126,3,NEC1263,0.53,12.43,74.95
1,124,NEC127,1,NEC1271,0.67,14.5,726.93
1,513,NEC127,2,NEC1272,0.77,13.17,86.93
1,901,NEC127,3,NEC1273,0.24,14.67,171.91
1,125,NEC128,1,NEC1281,0.77,15.77,674.88
